rating,review_text,review_date,product_name,skin_type
2,보습력은 있지만 제 피부에는 조금 무겁게 느껴졌어요. 지성 피부에는 겨울이나 건조한 날 사용하면 더 잘 맞을 것 같아요.,2025-05-03,데일리 선크림,지성
4,발림성이 부드럽고 흡수가 빨라서 아침에 사용하기 좋았어요.,2025-12-11,데일리 선크림,지성
5,피부가 매끈해 보이고 사용감이 산뜻해서 재사용하고 싶어요.,2025-05-27,저자극 진정 토너,복합성
3,가볍지도 무겁지도 않은 중간 정도의 사용감이었어요.,2025-09-06,수분 장벽 크림,건성
5,세안 후 건조함이 덜하고 피부가 당기는 느낌이 줄었어요. 지성 피부라 가벼운 사용감을 선호하는데 생각보다 괜찮았어요. 건성,2025-05-23,데일리 선크림,지성
5,세안 후 건조함이 덜하고 피부가 당기는 느낌이 줄었어요.,2025-01-11,수분 장벽 크림,건성
5,향이 은은하고 자극적인 느낌이 없어 만족스러웠어요. 건성,2025-07-11,저자극 진정 토너,복합성
3,처음 사용했을 때는 특별한 변화 없이 평범했어요. 지성 피부라 가벼운 사용감을 선호하는데 생각보다 괜찮았어요.,2025-11-14,데일리 선크림,지성
3,가볍지도 무겁지도 않은 중간 정도의 사용감이었어요.,2025-03-23,저자극 진정 토너,복합성
4,향이 은은하고 자극적인 느낌이 없어 만족스러웠어요. 건성 피부에는 잘 맞을 것 같지만 여름에는 조금 무거울 수도 있겠어요. 복합성,2025-12-02,수분 장벽 크림,건성
3,가격을 생각하면 무난한 제품이라고 생각해요.,2025-01-02,수분 장벽 크림,건성
5,끈적임이 심하지 않아 부담 없이 매일 사용할 수 있었어요.,2025-03-07,수분 장벽 크림,건성
1,사용 후 얼굴에 작은 뾰루지가 몇 개 올라와서 사용을 중단했어요. 복합성 피부인데 볼은 촉촉하고 T존은 크게 번들거리지 않았어요.,2025-06-10,저자극 진정 토너,복합성
3,처음 사용했을 때는 특별한 변화 없이 평범했어요. 지성,2025-04-19,수분 장벽 크림,건성
2,향이 제 취향과 맞지 않고 사용 후 약간 답답한 느낌이 들었어요. 건성 피부라 겨울에는 보습력이 조금 더 필요할 것 같아요.,2025-05-06,수분 장벽 크림,건성
3,가볍지도 무겁지도 않은 중간 정도의 사용감이었어요. 복합성 피부에는 양을 조절해서 사용하면 괜찮을 것 같아요.,2025-10-27,저자극 진정 토너,복합성
5,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요. 복합성이라 코 주변은 유분이 올라왔지만 볼은 편안했어요.,2025-02-05,저자극 진정 토너,복합성
